status,xigua,R,shumei,baiqishi,x1,x30,x85,x54,x83
1,509,0,REVIEW,medium,0,0,0,313,0
1,613,0,REVIEW,other,5,4,1,110,1
0,527,0,REVIEW,other,6,6,3,11,3
1,324,0,REVIEW,other,5,5,4,-1,1
1,345,0,REVIEW,other,3,2,1,-1,1
0,336,0,PASS,other,13,13,6,26,4
0,372,0,REVIEW,other,10,10,2,-1,1
0,676,0,PASS,medium,9,9,5,63,1
1,453,0,REVIEW,other,9,9,2,78,0
0,783,0,REVIEW,medium,11,11,5,341,1
1,347,1,REVIEW,other,2,2,2,192,1
0,311,0,REVIEW,other,17,19,3,114,2
1,537,1,REVIEW,other,8,6,3,8,3
1,343,0,REVIEW,other,11,12,2,305,1
0,538,0,PASS,other,31,32,15,3,12
1,413,0,REVIEW,other,14,14,5,52,0
0,700,0,PASS,other,9,11,5,-1,5
1,549,0,REJECT,other,3,4,0,-1,0
1,347,0,REVIEW,other,6,5,3,139,1
0,549,0,PASS,other,10,10,3,90,3
0,461,0,PASS,other,19,20,5,228,4
0,359,0,REVIEW,other,4,4,1,-1,1
0,315,0,REVIEW,other,15,14,6,110,5
0,318,0,REJECT,other,8,8,5,114,5
0,531,0,REVIEW,other,7,7,1,70,0
0,437,0,PASS,other,14,14,4,-1,4
0,397,0,PASS,medium,24,25,9,77,7
0,571,0,REVIEW,other,14,12,4,12,3
0,512,0,REVIEW,other,13,14,7,68,7
0,680,0,REVIEW,other,28,28,8,24,5
0,693,0,PASS,other,19,19,8,16,6
0,378,0,PASS,other,20,20,11,166,7
1,336,0,REVIEW,high,11,11,4,218,2
1,499,0,REJECT,medium,2,2,2,223,1
0,735,0,PASS,medium,17,17,7,33,7
0,665,0,REVIEW,other,9,9,2,9,2
0,322,0,REVIEW,other,18,17,11,35,4
0,343,0,REVIEW,medium,5,1,3,235,1
0,349,0,REVIEW,other,0,0,0,-1,0
0,562,0,REVIEW,high,0,0,0,-1,0
